CustomerNo;ItemID_DE;EAN;ItemNo;ItemNameDE;SalesPrice_Customer;Kunde Staffel 1: ab Menge;Kunde Staffel 1: Netto-VK;Kunde Staffel 2: ab Menge;Kunde Staffel 2: Netto-VK;Kunde Staffel 3: ab Menge;Kunde Staffel 3: Netto-VK;Kunde Staffel 4: ab Menge;Kunde Staffel 4: Netto-VK;Kunde Staffel 5: ab Menge;Kunde Staffel 5: Netto-VK;Kunde Staffel 6: ab Menge;Kunde Staffel 6: Netto-VK;Kunde Staffel 7: ab Menge;Kunde Staffel 7: Netto-VK;Kunde Staffel 8: ab Menge;Kunde Staffel 8: Netto-VK;Kunde Staffel 9: ab Menge;Kunde Staffel 9: Netto-VK;Kunde Staffel 10: ab Menge;Kunde Staffel 10: Netto-VK
K054798;470;4283230070722;I012-01;Kreismesser  - 1.4116 - 120T - glatt - GT Classic - B05 - GT;11;100;10,5;200;10;;;;;;;;;;;;;;;;
K054798;2191;4283230949721;0012-0251;Fleischspießteller Ø 25cm Schlitz;9,2;;;;;;;;;;;;;;;;;;;;
K054843;32;4283230068620;0012-0001;Schleifstein für Kreismesser rosa 120x10x6mm;0,55;800;0,45;;;;;;;;;;;;;;;;;;
K011111;23;4251840915658;0013-1080;Kreismesser  - 1.4116 - 80C - glatt - 0013-1080  TG80-C - C01 - K011111;4,7;;;;;;;;;;;;;;;;;;;;
K011111;32;4283230068620;0012-0001;Schleifstein für Kreismesser rosa 120x10x6mm;0,25;;;;;;;;;;;;;;;;;;;;
K011111;187;4283230068828;0012-0002;Schleifstein für Kreismesser schwarz;0,7;;;;;;;;;;;;;;;;;;;;
K011111;470;4283230070722;I012-01;Kreismesser  - 1.4116 - 120T - glatt - GT Classic - B05 - GT;6,5;;;;;;;;;;;;;;;;;;;;
K011111;480;4283230070029;I008-02;Kreismesser  - 1.4116 - 100T - glatt - GT Classic - B05 - GT;6;;;;;;;;;;;;;;;;;;;;
K011111;618;4283230070623;4,28323E+12;Kreismesser Classic 80U glatt passend für CEYLAN, DOST 080, POTIS, Edelstahl rostfrei;5,2;;;;;;;;;;;;;;;;;;;;
K011111;677;4283230071323;0012-0089;Fleischspieß 89cm;8,7;;;;;;;;;;;;;;;;;;;;
K011111;679;4283230072528;0012-0195;Fleischspießteller Ø19.5cm;7,2;;;;;;;;;;;;;;;;;;;;
K011111;680;4283230071729;0012-0005;Fleischspießklammer Edelstahl;0,28;;;;;;;;;;;;;;;;;;;;
K011111;697;4283230070128;I008-01;Kreismesser  - 1.4116 - 120Tz - gezahnt - GT Classic - B05 - GT;7,5;;;;;;;;;;;;;;;;;;;;
K011111;702;4251840978721;0013-1081;Kreismesser  - 1.4116 - 80Cz - gezahnt - 0013-1081  TZ80-C - C01 - K011111;5,7;;;;;;;;;;;;;;;;;;;;
K011111;844;4283230069221;4,28323E+12;Kreismesser  - 1.4116 - 100Tz - gezahnt - GT Classic - B05 - GT;7;;;;;;;;;;;;;;;;;;;;
K011111;1852;4283230072320;0012-0120;Fleischspießteller Ø12cm;6,9;;;;;;;;;;;;;;;;;;;;
