ItemID_DE;ItemNoDE;EAN;ParentNo;ItemNameDE;RemarkDE/EN;Sales_Price_EUR;Is_StockItem;StockQtyEU;MSQ_EU;is_dim_weight_estimated;weight(g);length(mm);width(mm);height(mm);is_active;Überverkäufe möglich;Stückzahl teilbar;Versandgewicht(kg);Length;Breite;Höhe;TARIC-Code
12388;PT0176+L;7895646637917;;Drehrichtungsschalter inkl. Motor Zuleitung;;0;N;0;0;0;0;0;0;0;Y;N;N;0;0;0;0;8536500700
12387;TM-074;7897756383944;;Wippenschalter;;0;N;0;0;0;10;30;11;20;Y;N;N;0,01;3;1,1;2;8536500700
12386;75800;7899929886405;;Anschlusskabel intern für MZ 05;;6;N;0;0;0;10;120;0;0;Y;N;N;0,01;12;0;0;8544499390
12385;CMBM-001;7896422173551;;Klauenkupplung Alu D40 L55, Bohrung 25mm, Hälfte mit Passfedernut, nicht eloxiert, Toleranz -0.015 bis -0.035 mit Elastomer geschlossen;;8,21;N;0;0;0;70;40;40;15;Y;N;N;0,07;4;4;1,5;8483608090
12384;0080-0160;7892619242215;;Kreismesser Für Döner- / Gyros Roboter 160mm -  glatt PREMIUM;;15,36;N;0;0;0;90;160;160;10;Y;N;N;0,09;16;16;1;8208300000
12383;KM1801;7899121859863;;Kreismesser Potis 80P PREMIUM 20er Pack;;7,5;N;0;0;0;50;80;80;10;Y;N;N;0,05;8;8;1;
12382;0080-0200;7897611242263;;Kreismesser Für Döner- /Gyros Roboter Rodo 200mm -  glatt PREMIUM Rodo;;22,86;N;0;0;0;320;200;200;10;Y;N;N;0,32;20;20;1;8208300000
12381;1007142;7899431335934;;Quadermagnet aus Neodym-Eisen-Bor L40 B 25 H10mm vernickelt;;3,3;N;0;0;0;80;40;25;10;Y;N;N;0,08;4;2,5;1;8505111076
12380;0012-1230;7891472111218;;Verbrennungsgitter GU Modell 230 x 165mm;;2,47;N;0;0;0;140;230;165;10;Y;N;N;0,14;23;16,5;1;8487909090
12379;0012-1208;7894476672549;;Verbrennungsgitter K Modell 208 x155mm;;2,11;N;0;0;0;140;208;155;1;Y;N;N;0,15;20,8;15,5;0,1;8487909090
12378;0080-0140-RODO;7892633925002;;Kreismesser Für Döner- /Gyros Roboter Rodo 140mm -  glatt PREMIUM Rodo;;12,14;N;0;0;0;130;140;140;1;Y;N;N;0,15;14;14;0,1;8208300000
12377;DIMA-01;7895263081438;;Klauenkupplung D40L50 Bohrung Ø14H7, Passfedernut nach DIN 6885-1, Nabenbreite 5P9 mit Elastomer für Klauenkupplung D40L50 ROT Härte 98 SHA;;0;N;0;0;0;180;50;40;40;Y;N;N;0,18;5;4;4;8483608090
12376;POLY-01;7893766121125;;Federspannstift;;0;N;0;0;0;0;18;7;7;Y;N;N;0;1,8;0,7;0,7;8487909090
12375;4-012-05-12;7899604370700;;Stehlager ohne Gehäuse * LDK wertig ohne Schmierbohrung;;0;N;0;0;0;0;0;0;0;Y;N;N;0;0;0;0;8482109000
12374;4-012-05-11;7894797538067;;Blechgehäuse PP 204 * LDK wertig;;0;N;0;0;0;0;0;0;0;Y;N;N;0;0;0;0;8487909090
12373;PLA2006-11;7891952147119;;Finger -Eingriffschutz;;0,5;N;0;0;0;40;75;10;10;Y;N;Y;0,04;7,5;1;1;8487909090
12372;BOGA-01;7896002694995;;Niveauerfassung analog resistiv 33-240Ohm Hub 100mm;;32;N;0;0;0;100;25;25;100;Y;N;N;0,1;2,5;2,5;10;8536500700
12371;Roll-02;7896976951520;;Trapezgewindespindel Tr20X4 L220 C45, brüniert;;0;N;0;0;0;470;220;20;20;Y;N;N;0,47;22;2;2;8487909090
12370;Roll-01;7894095763116;;Trapezgewindemutter Tr20x4 C45 schwarz verzinkt;;0;N;0;0;0;210;58;58;22;Y;N;N;0,22;5,8;5,8;2,2;8487909090
12369;1718400 ?;7898223211852;;Stripper-Werkzeug 250x80x2mm glatt;;0;N;0;0;1;310;250;80;0,2;Y;N;Y;0,31;25;8;0,02;8208300000
12368;NOCK-01;7892448106108;;NOCK Kreismesser 200mm;;30;N;0;0;1;400;200;200;0;Y;N;N;0,4;20;20;0;8208300000
12367;DIN380SME-1000;7897406887754;;Trapezgewindespindel Tr8x2P2 DIN380 / ISO 2901-7e;;0;N;0;0;1;780;1000;8;8;Y;N;N;0,8;100;0,8;0,8;8487909090
12366;3694-0004;4283230509925;;Elastomerstern blau für CEYLAN Klauenkupplung D20L30 - K011111;;0,54;N;0;0;1;10;20;20;5;Y;N;N;0,01;2;2;0,5;8483608090
12365;3694-0006;7899271377675;;CEYLAN Klauenkupplung D20L30 - Hälfte 6mm - K011111;;1,24;N;0;0;1;10;19;20;20;Y;N;N;0,01;1,9;2;2;8483608090
12364;3694-0007;7897843782117;;CEYLAN Klauenkupplung D20L30 - Hälfte 10mm - K011111;;1,24;N;0;0;1;10;19;20;20;Y;N;N;0,01;1,9;2;2;8483608090
12363;PT0376;4251910703765;;Kabelverschraubung PG9 mit Gegenmutter;;0,57;N;0;0;1;20;30;20;20;Y;N;N;0,02;3;2;2;3925902000
12362;PT0176;7895359608167;;Drehrichtungsschalter;;0,45;N;0;0;0;10;14;31;35;Y;N;N;0,01;1,4;3,1;3,5;8536500700
