master_id,ItemID_DE,order_no,qty,remark_de,qty_delivered
27864,12350,DE3144,3,"3 Einheiten für Auftrag B98909",0
27862,11959,DE3143,2,"2 Einheiten für Auftrag B98907",0
27863,10784,DE3143,2,"2 Einheiten für Auftrag B98907",0
27861,12322,DE3142,100,"Topband lasered + labeled 13mm bearing ",0
27860,11420,DE3141,50,,0
27859,11041,DE3140,10,"d1: 10mm with keyway / d2:15mm no keyway",0
27858,10752,DE3139,300,"packaged in sets of 5",0
27857,12349,DE3138,100,,0
27854,11457,DE3136,30,,0
27853,8428,DE3135,5,"5 Einheiten für Auftrag B98830",0
27852,11480,DE3134,2,"2 Einheiten für Auftrag B98826",0
27848,4071,DE3133,15,"PP204 pillow block low cost  like Craft Bearings",0
27849,4071,DE3133,30,"PP204 pillow block high qualitiy (tolerance met)",0
27850,4071,DE3133,15,"bearing SB204-ZZ low cost-  no lubrication hole",0
27851,4071,DE3133,30,"bearing SB204-ZZ LDK -  no lubrication hole",0
27855,4071,DE3133,2,"sprocket KS06B-1-19",0
27847,6343,DE3132,1000,,0
27845,12348,DE3131,500,"yellow housing w/ logo",0
27846,12341,DE3131,5000,"black housing w/ logo - 100pcs / box",0
27844,11098,DE3130,1,"SFU1605-3 L260 customized according to drawing ",0
27841,5543,DE3129,70,"70 Einheiten für Auftrag B98772",0
27842,4044,DE3129,40,,0
27843,4040,DE3129,140,,0
27840,203,DE3128,62,"62 Einheiten für Auftrag B98771",0
27833,6295,DE3127,100,"100 Einheiten für Auftrag B98718",0
27834,6281,DE3127,150,"150 Einheiten für Auftrag B98718",0
27835,5693,DE3127,200,"200 Einheiten für Auftrag B98718",0
27836,6296,DE3127,200,"200 Einheiten für Auftrag B98718",0
27837,9828,DE3127,300,"300 Einheiten für Auftrag B98718",0
27838,702,DE3127,400,"400 Einheiten für Auftrag B98718",0
27839,23,DE3127,800,"800 Einheiten für Auftrag B98718",0
27831,2695,DE3125,10,"10 Einheiten für Auftrag B98726",0
27822,7664,DE3124,10,,0
27824,2419,DE3124,10,,0
27825,5198,DE3124,10,,0
27826,2126,DE3124,20,,0
27827,2424,DE3124,20,,0
27828,1942,DE3124,60,,0
27829,6407,DE3124,10,,0
27830,9637,DE3124,10,,0
27821,474,DE3123,4000,"in plastic bag",0
27814,12056,DE3120,10,,0
27812,3708,DE3118,105,,0
27811,8969,DE3117,2,"2 Einheiten für Auftrag B98635",0
27770,11323,DE3113,1,"1 Einheit für Auftrag B98613",0
27771,11306,DE3113,2,"2 Einheiten für Auftrag B98613",0
27769,9569,DE3112,1,"1 Einheit für Auftrag B98612",0
27732,9033,DE3111,10,,0
27733,9622,DE3111,30,,0
27734,3140,DE3111,30,,0
27735,3238,DE3111,10,,0
27736,5261,DE3111,20,,0
27737,5269,DE3111,30,,0
27738,8941,DE3111,10,,0
27739,5268,DE3111,60,,0
27740,9447,DE3111,20,,0
27741,2427,DE3111,10,,0
27742,160,DE3111,20,,0
27743,4943,DE3111,20,,0
27744,3236,DE3111,30,,0
27745,4936,DE3111,20,,0
27746,4935,DE3111,20,,0
27747,11068,DE3111,4,,0
27748,7475,DE3111,20,,0
27749,10804,DE3111,20,,0
27750,4409,DE3111,10,,0
27751,2367,DE3111,10,,0
27752,2352,DE3111,30,,0
27753,4279,DE3111,10,,0
27754,9637,DE3111,10,,0
27755,8717,DE3111,5,,0
27756,4555,DE3111,50,,0
27757,9540,DE3111,10,,0
27758,154,DE3111,20,,0
27759,9611,DE3111,10,,0
27760,113,DE3111,10,,0
27761,88,DE3111,10,,0
27762,1960,DE3111,120,,0
27763,1959,DE3111,70,,0
27765,2642,DE3111,20,,0
27767,9601,DE3111,10,,0
27768,8719,DE3111,5,,0
27725,2191,DE3108,40,,0
27726,6034,DE3108,120,,0
27727,12343,DE3108,100,,0
27728,677,DE3108,216,,0
27729,679,DE3108,256,,0
27730,7047,DE3109,4080,,0
27718,6295,DE3107,100,,0
