supplier_order_no,product_category_id,order_status,order_comment,date_order_created,date_order_email,expected_delivery
DE3135,26,20,"Express C2026-FE11 - shop order","Mär 16 2026  3:22PM","Mär 16 2026  3:23PM","Mär 30 2026  3:22PM"
DE3134,26,20,Express-C2026-FE11,"Mär 16 2026  9:10AM","Mär 16 2026  9:11AM","Mär 16 2026  9:10AM"
DE3133,26,20,"Express C2026-FE11 - buy 2pcs  each as reference sample","Mär 16 2026  8:41AM","Mär 17 2026  9:57AM","Mär 27 2026  8:41AM"
DE3132,26,20,"Express C2026-FE11 - K080374","Mär 11 2026  1:17PM","Mär 11 2026  1:22PM","Mär 11 2026  1:17PM"
DE3131,26,20,K066666,"Mär  9 2026  2:53PM","Mär 10 2026  3:48PM","Apr 13 2026  2:53PM"
DE3130,21,20,"C2026-FE12 - Gebhardt","Mär  6 2026  2:21PM","Mär  6 2026  2:27PM","Mär  6 2026  2:21PM"
DE3129,26,20,"Express C2026-FE11","Mär  6 2026 11:44AM","Mär  6 2026 11:46AM","Mär  6 2026 11:44AM"
DE3128,26,20,"Express C2026-T4 - updated","Mär  6 2026 11:38AM","Mär  6 2026 11:47AM","Mär  6 2026 11:38AM"
DE3127,18,20,"Train ETA June - K011111","Feb 27 2026 11:47AM","Feb 27 2026 11:48AM","Feb 27 2026 11:47AM"
DE3126,26,20,"Express - K083562 ","Feb 27 2026  8:15AM","Feb 27 2026  8:16AM","Mär  6 2026  8:15AM"
DE3125,26,20,"C2026 ETD March - K076820","Feb 27 2026  8:00AM","Feb 27 2026  8:01AM","Apr 30 2026  8:00AM"
DE3124,26,20,"C2026-T4-GT - changed","Feb 25 2026  8:43AM","Feb 27 2026  8:11AM","Apr 16 2026  8:43AM"
DE3123,13,20,"C2026-T4 - K011111","Feb 24 2026 12:55PM","Feb 28 2026 10:46AM","Apr 15 2026 12:55PM"
DE3122,26,20,"Express - B98669 - K051262","Feb 23 2026 12:43PM","Mär 10 2026  9:09AM","Mär  6 2026 12:43PM"
DE3120,26,20,"C2025-T4 - Smela","Feb 23 2026  9:56AM","Feb 28 2026 10:44AM","Apr 15 2026  9:56AM"
DE3119,26,20,Express,"Feb 23 2026  8:14AM","Feb 28 2026 10:44AM","Feb 23 2026  8:14AM"
DE3118,26,20,Train,"Feb 23 2026  8:12AM","Feb 28 2026 10:43AM","Feb 23 2026  8:12AM"
DE3117,26,20,C2026-T4,"Feb 23 2026  8:10AM","Feb 28 2026 10:43AM","Feb 23 2026  8:10AM"
DE3114,26,20,Express,"Feb 10 2026  3:12PM","Feb 28 2026 10:42AM","Feb 10 2026  3:12PM"
DE3113,26,20,Train,"Feb 10 2026  3:10PM","Feb 28 2026 10:42AM","Feb 10 2026  3:10PM"
DE3112,26,20,Train,"Feb 10 2026  3:05PM","Feb 28 2026 10:41AM","Feb 10 2026  3:05PM"
DE3111,26,20,"C2026-T4-GT - changed","Feb 10 2026 12:50PM","Feb 27 2026  8:11AM","Apr  9 2026 12:50PM"
DE3110,26,20,"Express C2026-FE9 - shop order - K083478","Feb  5 2026 12:26PM","Feb 28 2026 10:40AM","Mär  6 2026 12:26PM"
DE3108,13,20,"T2026 - Mai - K011111","Feb  4 2026  1:36PM","Feb 28 2026 10:39AM","Feb  4 2026  1:36PM"
DE3109,21,20,"T2026 Mai - K011111","Feb  4 2026  1:36PM","Feb 28 2026 10:40AM","Mai 18 2026  1:36PM"
DE3107,18,20,"C2026-T5 -  K011111","Feb  4 2026  1:32PM","Feb  4 2026  1:33PM","Mai 22 2026  1:32PM"
DE3106,26,20,"Express C2026-FE9	- shop order - K083454
","Jan 30 2026  7:19AM","Feb 28 2026 10:39AM","Feb 13 2026  7:19AM"
DE3105,26,20,"C2026-T2 - K011111","Jan 29 2026  1:13PM","Jan 29 2026  1:14PM","Mär  5 2026  1:13PM"
DE3101,21,20,"C2026-T4 - K011111","Jan 26 2026  7:39AM","Feb 28 2026 10:38AM","Apr  9 2026  7:39AM"
DE3100,13,20,"C2026-T4 -.K022222","Jan 23 2026  1:48PM","Feb 28 2026 10:37AM","Apr 24 2026  1:48PM"
DE3094,26,20,"FedEx Express - order update","Jan 16 2026 10:30AM","Mär  4 2026  7:36AM","Feb 27 2026 10:30AM"
DE3089,13,20,"T2026-2 - GT","Jan 15 2026  7:31AM","Feb 28 2026 10:36AM","Feb 28 2026  7:31AM"
DE3086,26,20,"T2025-2 - K11111 tray - updated","Jan 12 2026  9:09AM","Jan 29 2026  1:12PM","Mär 12 2026  9:09AM"
DE3084,21,20,"C2026-T2 - K011111","Jan  9 2026 10:34AM","Jan 23 2026  1:39PM","Feb 27 2026 10:34AM"
DE3082,26,20,"T2026-2 GT","Jan  6 2026  9:15AM","Jan  8 2026  9:35AM","Mär 27 2026  9:15AM"
DE3080,18,20,"T2026-4 - K011111","Jan  5 2026  9:18AM","Jan  9 2026 10:19AM","Mär 27 2026  9:18AM"
DE3079,26,20,"T2026-2 - shop order - K054677","Jan  5 2026  7:29AM","Jan  5 2026  7:30AM","Feb 28 2026  7:29AM"
DE3078,26,20,"T2026-2 - shop order - K083330","Jan  5 2026  7:27AM","Jan  5 2026  7:28AM","Feb 28 2026  7:27AM"
DE3077,26,20,"T2026-2 - shop order -  K080716","Jan  5 2026  7:24AM","Jan  5 2026  7:25AM","Feb 28 2026  7:24AM"
DE3050,18,20,"T2026-2 - K011111","Nov 18 2025  2:08PM","Nov 18 2025  2:10PM","Feb 20 2026  2:08PM"
DE3049,13,20,"T2026-2 - GT tray","Nov 18 2025  1:42PM","Nov 28 2025 10:10AM","Feb 20 2026  1:42PM"
DE3039,18,20,"T2026-2 - K022222","Nov  5 2025 12:56PM","Nov  5 2025  1:00PM","Mär  1 2026 12:56PM"
1001,26,100,,"Sep 16 2025  7:30AM",,"Sep 16 2025  7:30AM"
